date,datetime,cash_type,card,money,coffee_name,machine
2025-02-08,2025-02-08 14:26:04,cash,UNKNOWN,15,Tea,machine-2
2025-02-08,2025-02-08 14:28:26,cash,UNKNOWN,15,Tea,machine-2
2025-02-08,2025-02-08 14:33:04,card,UNKNOWN,20,Espresso,machine-2
2025-02-08,2025-02-08 15:51:04,card,UNKNOWN,30,Chocolate with coffee,machine-2
2025-02-08,2025-02-08 16:35:01,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-08,2025-02-08 18:55:30,card,UNKNOWN,33,Espresso,machine-2
2025-02-08,2025-02-08 18:59:03,cash,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-08,2025-02-08 19:00:28,cash,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-02-09,2025-02-09 08:45:45,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-09,2025-02-09 10:41:36,cash,UNKNOWN,30,Chocolate with coffee,machine-2
2025-02-09,2025-02-09 10:42:55,cash,UNKNOWN,27,Double espresso,machine-2
2025-02-09,2025-02-09 12:18:53,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-09,2025-02-09 13:28:56,card,UNKNOWN,20,Espresso,machine-2
2025-02-09,2025-02-09 15:16:48,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-09,2025-02-09 15:43:17,card,UNKNOWN,32,Double espresso with milk,machine-2
2025-02-09,2025-02-09 16:14:26,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-09,2025-02-09 16:23:52,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-09,2025-02-09 16:25:15,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 17:47:17,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,15,Tea,machine-2
2025-02-09,2025-02-09 18:02:39,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-09,2025-02-09 19:50:36,cash,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-10,2025-02-10 09:26:07,cash,UNKNOWN,25,Americano,machine-2
2025-02-10,2025-02-10 12:26:32,cash,UNKNOWN,25,Americano,machine-2
2025-02-10,2025-02-10 18:21:29,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-11,2025-02-11 09:49:22,card,UNKNOWN,15,Tea,machine-2
2025-02-11,2025-02-11 18:35:30,card,UNKNOWN,25,Americano,machine-2
2025-02-12,2025-02-12 17:57:46,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-13,2025-02-13 07:55:09,card,UNKNOWN,33,Latte,machine-2
2025-02-13,2025-02-13 08:12:14,card,UNKNOWN,32,Double espresso with milk,machine-2
2025-02-13,2025-02-13 08:47:48,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-13,2025-02-13 10:28:04,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-14,2025-02-14 12:33:35,card,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 14:27:58,cash,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 14:33:41,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-14,2025-02-14 16:09:35,cash,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 19:02:15,card,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 19:24:49,cash,UNKNOWN,27,Chocolate with milk,machine-2
